ID	Building Name	Ward / Area	Priority Type	Housing Type	Floor Plan	Area	Area (sqm)	Monthly Rent	Monthly Rent (¥)	Management Fee (¥)	Deposit (¥)	Available From	Address	Built Year	Total Monthly Cost (¥)	Source	Floor	Train Access	Detail URL	Latitude	Longitude	Google Maps	First Seen (UTC)	Last Seen (UTC)	Distance to Shimbashi (km)	Train Time to Shimbashi (min)
ur_91ff1809af72b900	希望ヶ丘　7-8-2号棟955号室	Setagaya Ward	Priority	UR Public Housing	1K	45㎡	45.0	112600円	112600	3600	225200	Anytime	世田谷区船橋6ほか	1973	116200	UR	9	小田急小田原線「千歳船橋」駅バス4～10分 徒歩1～3分, 京王線「八幡山」駅バス5～8分 徒歩1～3分, 小田急小田原線「千歳船橋」駅 徒歩16～20分	https://www.ur-net.go.jp/chintai/kanto/tokyo/20_2340_room.html?JKSS=708020955	35.658035	139.622803	https://maps.google.com/?q=35.658035,139.622803	2026-06-18T09:36:23Z	2026-06-18T17:14:32Z	9.7	34
ur_5ca57e076fb7fec5	アクティ芦花公園　2号棟502号室	Setagaya Ward	Priority	UR Public Housing	1K	45㎡	45.0	154200円	154200	6700	308400	Anytime	世田谷区南烏山2-34-14ほか	2008	160900	UR	5	京王線「芦花公園」駅 徒歩3分, 京王線「千歳烏山」駅 徒歩10分	https://www.ur-net.go.jp/chintai/kanto/tokyo/20_6920_room.html?JKSS=000020502	35.669842	139.607925	https://maps.google.com/?q=35.669842,139.607925	2026-06-13T01:37:55Z	2026-06-18T17:14:32Z	9.7	34
465c54df347c0303	カーメスト用賀馬事公苑 1-103	Setagaya Ward	General	General Rental (Fixed Term)	1LDK	45.7	45.7	206800	206800	10000	620400	Immediately Available	世田谷区上用賀四丁目１７番１号	2025	216800	JKK	1		https://www.to-kousya.or.jp/chintai/reco/c_yogabajikoen.html	35.636436581521146	139.63085088622978	https://maps.google.com/?q=35.636436581521146,139.63085088622978	2026-05-31T03:05:08Z	2026-06-18T17:14:32Z	9.7	34
c36194ad02d7356b	カーメスト用賀馬事公苑 1-307	Setagaya Ward	General	General Rental (Fixed Term)	1LDK	45.7	45.7	215700	215700	10000	647100	Immediately Available	世田谷区上用賀四丁目１７番１号	2025	225700	JKK	3		https://www.to-kousya.or.jp/chintai/reco/c_yogabajikoen.html	35.636436581521146	139.63085088622978	https://maps.google.com/?q=35.636436581521146,139.63085088622978	2026-06-08T01:11:03Z	2026-06-18T17:14:32Z	9.7	34
4219faa94132ea52	カーメスト用賀馬事公苑 1-415	Setagaya Ward	General	General Rental (Fixed Term)	1LDK	45.7	45.7	218600	218600	10000	655800	Immediately Available	世田谷区上用賀四丁目１７番１号	2025	228600	JKK	4		https://www.to-kousya.or.jp/chintai/reco/c_yogabajikoen.html	35.636436581521146	139.63085088622978	https://maps.google.com/?q=35.636436581521146,139.63085088622978	2026-05-31T03:05:08Z	2026-06-18T17:14:32Z	9.7	34
b15d1c9bf682d45a	カーメスト用賀馬事公苑 1-202	Setagaya Ward	General	General Rental (Fixed Term)	1LDK	50.17	50.17	233400	233400	10000	700200	Immediately Available	世田谷区上用賀四丁目１７番１号	2025	243400	JKK	2		https://www.to-kousya.or.jp/chintai/reco/c_yogabajikoen.html	35.636436581521146	139.63085088622978	https://maps.google.com/?q=35.636436581521146,139.63085088622978	2026-05-31T03:05:08Z	2026-06-18T17:14:32Z	9.7	34
ur_da7800e8ffff1c85	経堂赤堤通り　5号棟109号室	Setagaya Ward		UR Public Housing	1LDK	57㎡	57.0	167400円	167400	5150	334800	Anytime	世田谷区桜上水1-1	1996	172550	UR	1	小田急小田原線「経堂」駅 徒歩10～14分, 東急世田谷線「松原」駅 徒歩11～12分, 京王線「桜上水」駅 徒歩15～18分	https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5000_room.html?JKSS=000050109	35.658852	139.632675	https://maps.google.com/?q=35.658852,139.632675	2026-06-18T05:38:45Z	2026-06-18T17:14:32Z	9.7	34
ur_c100e836f8dcef74	シティハイツ烏山　103号室	Setagaya Ward		UR Public Housing	1LDK	66㎡	66.0	165700円	165700	8800	331400	Anytime	世田谷区北烏山9-21-10	1995	174500	UR	1	京王線「千歳烏山」駅 徒歩13分	https://www.ur-net.go.jp/chintai/kanto/tokyo/20_5170_room.html?JKSS=000000103	35.672092	139.591522	https://maps.google.com/?q=35.672092,139.591522	2026-06-18T09:36:23Z	2026-06-18T17:14:32Z	9.7	34
511fcde968457120	カーメスト用賀馬事公苑 1-104	Setagaya Ward	General	General Rental (Fixed Term)	2LDK	54.52	54.52	245300	245300	10000	735900	Immediately Available	世田谷区上用賀四丁目１７番１号	2025	255300	JKK	1		https://www.to-kousya.or.jp/chintai/reco/c_yogabajikoen.html	35.636436581521146	139.63085088622978	https://maps.google.com/?q=35.636436581521146,139.63085088622978	2026-06-18T04:19:52Z	2026-06-18T17:14:32Z	9.7	34
a4eda47bb862bce4	カーメスト用賀馬事公苑 1-403	Setagaya Ward	General	General Rental (Fixed Term)	2LDK	54.52	54.52	266400	266400	10000	799200	Immediately Available	世田谷区上用賀四丁目１７番１号	2025	276400	JKK	4		https://www.to-kousya.or.jp/chintai/reco/c_yogabajikoen.html	35.636436581521146	139.63085088622978	https://maps.google.com/?q=35.636436581521146,139.63085088622978	2026-05-31T03:05:08Z	2026-06-18T17:14:32Z	9.7	34
